AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Current_Assets,76.2,103.0,128.1,131.1,109.0,138.9,132.3,294.8,113.0,,,,0.0
Current_Liabilities,64.2,82.9,76.9,76.1,83.8,117.8,91.2,49.9,57.5,,,,0.2
Diluted_EPS,-0.578,-0.204,-5.645,-0.178,0.116,-1.278,-0.184,-0.243,-0.168,-0.013,0.031,-0.089,0.0
Goodwill_Intangibles,357.7,359.8,356.9,671.7,700.1,695.9,655.0,359.6,362.2,,,,
Inventory,18.6,33.1,33.8,37.1,38.8,39.9,35.7,18.3,17.3,,,,
LT_Debt,190.5,230.2,252.5,247.0,225.2,226.0,226.5,159.4,153.0,0.0,0.0,0.0,0.0
Revenue,51.4,68.5,63.6,65.4,69.4,95.7,58.4,49.9,42.7,46.3,35.0,34.6,
Shares_Diluted,65.1592,50.2637,46.89,46.604,47.5856,43.8836,41.8772,36.7364,29.8233,,,,6.5715
Total_Assets,521.0,552.5,575.2,907.3,907.6,935.4,849.4,704.8,502.7,,,,0.2
Total_Liabilities,337.7,397.2,424.5,487.4,464.1,512.9,451.6,331.0,323.6,,,,0.2
