AAII_QTR_DATA,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,0.4,0.9,1.1,1.2,1.5,1.7
Current_Liabilities,2.0,0.3,0.2,0.2,0.3,0.3
Diluted_EPS,-0.078,0.01,0.02,0.025,0.028,0.007
Inventory,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,29.1261,29.1261,29.1261,29.1261,29.1261,29.1261
Total_Assets,237.0,237.5,237.1,236.5,235.9,235.1
Total_Liabilities,10.3,8.6,8.5,8.4,8.6,8.6
