AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,99.2,104.0,101.8,93.7,107.3,104.7,118.1,104.1,115.5,112.2,109.5,96.8,86.2,122.1,164.2
Current_Liabilities,35.9,34.8,31.2,31.9,37.6,38.0,53.1,39.9,43.8,62.1,70.5,54.7,50.6,45.0,52.4
Diluted_EPS,0.393,0.384,0.158,0.039,0.333,0.533,0.453,0.576,0.163,0.343,0.443,0.529,0.053,0.072,0.212
Goodwill_Intangibles,267.3,267.1,264.2,279.4,259.4,255.6,254.7,242.4,233.2,230.3,221.1,212.8,205.3,170.6,218.9
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,73.5,73.5,74.6,62.5,51.7,40.2,45.4,29.8,29.0,22.4,18.0,18.4,18.8,14.7,20.4
Revenue,54.8,48.9,48.6,41.3,57.4,63.9,55.8,49.0,52.3,50.5,46.6,40.0,21.8,26.5,24.9
Shares_Diluted,26.262,25.796,26.325,26.355,26.269,25.782,25.967,25.976,25.927,25.762,25.865,25.565,25.715,25.68,25.677
Total_Assets,522.4,518.3,507.0,508.0,514.4,494.2,507.6,487.8,469.5,496.3,471.2,436.8,407.7,416.2,540.6
Total_Liabilities,146.0,143.8,140.4,120.6,112.9,100.8,113.8,86.6,88.1,113.6,106.6,91.3,84.5,68.3,86.0
