AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.5,0.4,0.5,0.4,1.1,0.4,1.0,1.3,1.2,1.4,1.9,1.9,1.7,1.5,0.9
Current_Liabilities,4.0,3.8,3.9,3.6,3.9,3.5,3.2,3.2,2.7,2.4,3.6,3.0,2.8,2.2,3.4
Diluted_EPS,0.0,0.0,0.0,0.0,0.0,-0.002,-0.001,-0.001,-0.001,0.0,-0.001,0.0,-0.001,0.004,0.0
Goodwill_Intangibles,,,,,0.0,,0.0,0.2,0.3,0.3,0.3,0.0,0.0,0.0,0.0
Inventory,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.4,1.3,0.4,1.0,0.7,2.3,0.5
Shares_Diluted,508.11,508.11,508.11,508.11,508.11,508.11,508.11,508.11,508.11,508.11,508.11,508.11,508.11,508.11,508.11
Total_Assets,0.8,0.8,0.9,0.9,1.6,1.0,1.7,2.4,2.4,2.7,3.2,2.9,2.7,1.6,1.0
Total_Liabilities,4.0,3.8,4.0,3.8,4.3,4.0,3.7,3.8,3.4,3.2,4.3,3.7,3.6,2.2,3.4
