AAII_QTR_DATA,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020
Current_Assets,43.7,34.6,21.6,,
Current_Liabilities,66.0,145.0,73.4,,
Diluted_EPS,-1.503,-1.19,-0.679,-0.25,-0.131
Goodwill_Intangibles,31.2,5.4,,,
Inventory,0.0,0.0,0.0,0.0,0.0
LT_Debt,4.5,3.3,0.8,0.0,0.0
Revenue,40.7,38.3,12.9,17.3,8.3
Shares_Diluted,106.2533,118.8831,118.8831,,
Total_Assets,95.4,59.3,34.8,,
Total_Liabilities,120.9,149.1,74.6,,
