AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,116.2,139.3,158.4,72.1,90.6,115.0,,,
Current_Liabilities,11.4,17.9,13.6,12.5,12.3,7.7,,,
Diluted_EPS,-0.655,-0.736,-0.658,-0.606,-0.615,-0.485,-0.248,-0.17,-0.15
Goodwill_Intangibles,20.5,20.8,21.0,21.3,21.6,1.6,,,
Inventory,39.0,34.5,24.3,20.2,12.9,6.6,,,
LT_Debt,45.9,38.9,31.6,31.8,31.6,22.3,0.0,0.0,0.0
Revenue,4.0,4.9,5.5,4.2,4.3,3.2,3.4,3.3,2.1
Shares_Diluted,39.1172,39.0375,39.0379,38.9549,38.8443,38.8443,,,
Total_Assets,153.0,176.1,187.5,99.9,118.9,123.1,,,
Total_Liabilities,62.4,61.4,45.2,52.6,52.2,36.4,,,
