AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,50.4,24.8,37.1,33.5,29.9,41.7,42.4,33.8,30.2,35.5,34.6
Current_Liabilities,32.0,37.1,40.1,32.7,13.4,16.0,19.0,24.7,17.8,18.6,18.4
Diluted_EPS,-0.403,-0.247,-0.105,-0.306,-0.26,0.155,-0.011,-0.079,-0.105,-0.272,-0.054000000000000006
Goodwill_Intangibles,21.2,20.7,21.9,23.1,3.7,4.3,4.3,26.1,26.6,27.0,30.6
Inventory,1.0,1.1,1.1,1.1,1.2,1.6,1.6,12.4,11.3,13.0,16.1
LT_Debt,8.8,5.1,7.4,7.8,0.0,0.0,0.0,6.5,7.7,5.3,8.5
Revenue,9.5,11.3,13.6,7.8,5.7,5.7,6.1,6.3,5.5,7.4,5.2
Shares_Diluted,44.5649,30.468,30.4304,30.4249,28.4207,28.7072,28.6912,28.6348,28.5836,28.5475,28.5272
Total_Assets,94.9,66.0,78.4,74.7,55.0,64.2,65.0,79.1,75.8,70.2,79.0
Total_Liabilities,50.8,48.9,53.7,46.7,18.9,21.0,25.7,39.7,34.2,28.6,29.2
