AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,2.6,4.4,4.9,6.4,6.2,8.8,10.8,3.4,2.6,1.3,1.4,2.4,1.3,1.3,1.6,2.6,1.3,0.0,0.1
Current_Liabilities,8.4,7.8,9.0,8.8,6.8,7.6,7.5,21.0,25.5,16.7,9.2,12.8,5.0,5.5,3.0,4.3,1.6,0.3,0.1
Diluted_EPS,-0.227,-0.419,-0.423,-0.08,-0.283,-0.408,-0.563,0.6,-2.402,-3.764,0.409,-4.107,-1.484,-9.924,-1.399,-1.275,-0.365,-0.528,-0.397
Goodwill_Intangibles,9.4,9.7,13.7,16.3,16.4,17.5,18.5,10.6,10.0,4.3,4.5,4.6,4.8,4.9,8.6,8.6,8.0,0.7,0.7
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,1.0,1.3,0.2,0.6,2.1,2.6,3.2,0.0,0.0,0.1,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.0,0.0
Revenue,3.3,4.4,7.0,7.1,6.9,8.4,6.3,4.4,3.2,2.3,2.0,1.9,2.3,1.9,1.9,2.0,0.2,,
Shares_Diluted,16.7957,16.0709,14.8511,14.8307,14.7603,14.5315,13.5926,5.8795,2.6149,2.1384,3.5124,1.9338,1.6729,0.8216,0.7349,1.7884,1.3486,1.7369,1.6917
Total_Assets,12.0,14.1,18.7,22.6,22.6,26.3,29.3,14.6,12.8,5.7,6.0,7.2,6.3,6.5,10.4,11.4,9.6,0.7,0.8
Total_Liabilities,9.4,9.1,9.3,9.5,8.9,10.2,10.7,21.1,25.6,16.8,9.7,13.4,5.2,5.8,3.2,4.6,1.9,0.3,0.1
