AAII_QTR_DATA,06/30/2020,12/31/2019,06/30/2019
Current_Assets,91.9,41.9,67.4
Current_Liabilities,30.8,41.2,29.0
Diluted_EPS,-7.234,-1.221,-1.516
Goodwill_Intangibles,43.9,61.3,62.2
Inventory,0.0,0.0,0.0
LT_Debt,35.4,20.2,34.3
Revenue,,0.0,0.0
Shares_Diluted,23.737,21.021,14.7491
Total_Assets,151.3,119.1,147.6
Total_Liabilities,117.9,63.6,66.3
