AAII_QTR_DATA,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018
Current_Assets,56.8,110.2,89.7,20.8,34.6,,
Current_Liabilities,31.4,23.4,17.1,9.3,6.2,,
Diluted_EPS,-1.868,-1.716,-1.389,-1.217,-1.155,-0.858,-0.76
Goodwill_Intangibles,0.3,1.8,1.5,1.5,1.5,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,3.2,4.7,6.7,8.6,1.3,0.0,0.0
Revenue,1.9,,,,,,
Shares_Diluted,34.9037,31.2852,25.4477,20.0478,19.9565,,
Total_Assets,60.2,115.6,95.1,25.4,39.2,,
Total_Liabilities,36.7,28.4,23.9,18.0,7.6,,
