AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,379.1,347.0,358.9,360.7,299.0,271.3,263.7,425.6,344.0,252.7,253.1,275.2,285.8,277.9,296.5
Current_Liabilities,188.9,175.0,179.5,180.4,146.3,116.0,115.4,266.5,111.8,100.4,104.8,115.4,114.7,120.8,132.3
Diluted_EPS,0.332,-0.405,0.196,-1.284,0.492,0.594,0.464,-2.983,0.9690000000000001,0.9179999999999999,0.846,0.7979999999999999,0.6970000000000001,0.768,0.706
Goodwill_Intangibles,345.9,353.2,361.2,368.8,146.6,150.0,148.1,146.4,147.5,149.8,149.0,152.4,152.7,154.7,157.2
Inventory,148.3,138.5,133.8,136.0,115.1,108.9,107.8,115.0,131.4,122.8,118.7,127.7,135.3,131.6,137.8
LT_Debt,476.6,455.3,455.4,457.3,187.2,189.5,190.7,201.7,268.6,198.2,202.0,221.0,243.4,236.8,247.6
Revenue,284.8,264.3,267.9,496.3,227.0,206.9,190.7,161.4,233.6,213.6,231.8,253.4,239.7,240.9,256.2
Shares_Diluted,16.852,16.791,16.867,16.829,16.873,16.822,16.821,16.797,16.817,16.894000000000002,16.905,16.91,16.921,16.92,16.988
Total_Assets,1105.8,1081.7,1093.0,1117.5,823.2,806.6,796.3,952.4,916.3,827.8,822.4,857.7,875.9,861.2,884.5
Total_Liabilities,798.0,765.7,765.6,774.0,461.6,439.0,429.3,594.4,506.5,421.5,416.9,451.2,481.7,471.0,485.4
