AAII_QTR_DATA,09/30/2021,06/30/2021,12/31/2020,06/30/2020
Current_Assets,5.0,7.0,,
Current_Liabilities,11.5,11.3,,
Diluted_EPS,-0.015,-0.017,-0.012,-0.004
Goodwill_Intangibles,19.2,19.5,,
Inventory,2.4,2.9,,
LT_Debt,0.4,0.4,0.0,0.0
Revenue,3.4,7.7,13.4,5.6
Shares_Diluted,,,,
Total_Assets,36.0,37.6,,
Total_Liabilities,12.0,11.7,,
