AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019
Current_Assets,135843.9,86448.2,107680.0,102162.3,16940.7,18373.9,15869.7,14238.1,8672.5,5133.9,,,,,,
Current_Liabilities,130202.8,80815.3,102073.1,96194.3,10921.8,11419.0,9615.2,9677.6,7256.1,4246.9,,,,,,
Diluted_EPS,-0.341,-2.456,-2.432,-4.949,-1.976,3.754,1.606,8.005,0.971,0.178,0.408,0.0,0.054,-0.14,0.04,0.191
Goodwill_Intangibles,1269.4,1209.3,1235.6,1263.4,1299.3,802.4,709.6,621.1,574.4,138.0,,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,3395.6,3393.4,3391.2,3389.0,3386.9,3384.8,3382.2,1406.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,772.5,629.1,590.3,808.3,1166.4,2498.5,1311.9,4029.1,1801.1,585.1,315.4,186.4,190.6,98.3,158.5,210.8
Shares_Diluted,231.489,226.808,223.916,220.988,217.472,252.704,250.536,229.794,218.0325,199.2,,,,,,
Total_Assets,139301.9,89724.9,111168.4,105468.2,20895.2,21274.4,18454.3,15790.2,10201.1,5855.4,,,,,,
Total_Liabilities,133626.9,84270.3,105542.0,99654.9,14399.1,14892.7,13093.8,11166.8,7344.7,4329.4,,,,,,
