AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,44.0,43.9,42.9,45.6,48.6,48.2,47.7,47.7,47.2,47.5,44.4,41.8,41.3,41.0,37.9,38.4,38.3,36.3,34.7,34.7
Current_Liabilities,6.6,6.5,7.7,7.9,9.5,9.2,8.8,9.1,9.1,9.5,8.9,8.6,8.7,9.1,8.4,8.6,8.7,8.4,8.1,7.7
Diluted_EPS,-0.004,0.014,-0.007,-0.005,-0.004,-0.009,0.0,-0.004,0.002,0.01,0.01,0.006,0.015,0.022,0.012,0.012,0.012,0.017,0.01,-0.001
Goodwill_Intangibles,1.0,1.1,1.2,1.4,1.6,1.7,1.8,2.0,2.1,2.2,2.2,2.2,2.4,2.5,2.6,2.8,3.0,3.0,3.1,3.4
Inventory,0.4,0.4,0.5,0.5,0.9,0.8,0.8,0.8,1.0,1.0,0.8,0.8,0.8,0.8,0.8,0.9,1.0,0.8,0.7,0.5
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,3.1,2.2,2.0,2.4,3.4,2.1,2.2,2.2,2.7,2.1,1.7
Shares_Diluted,65.5397,65.5397,65.5397,65.5397,65.5397,65.5397,65.5397,65.5397,65.5397,81.6043,65.5397,65.5397,65.5397,65.5397,65.5397,65.5397,65.5397,65.5397,65.5397,65.5397
Total_Assets,48.5,48.5,47.6,50.7,54.2,54.0,53.6,53.9,53.5,54.0,50.9,48.2,47.9,48.0,44.8,45.8,46.0,44.1,42.7,42.9
Total_Liabilities,6.6,6.5,7.7,7.9,9.5,9.2,8.8,9.1,9.1,9.5,8.9,8.6,8.7,9.1,8.4,8.6,8.7,8.4,8.1,7.7
