AAII_QTR_DATA,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.1,0.3,0.5,0.4,0.3,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,5.5,5.4,5.2,5.0,4.8,5.8,7.5,5.4,4.1,9.6,9.0,16.0,10.8,9.7,9.5,10.3,10.1
Diluted_EPS,-0.143,-0.18,-0.625,-1.267,-0.516,1.217,-6.899,-6.078,-0.002,-0.0139999999999999,-0.064,-2.254,-3.715,-1.195,-1.141,-0.748,-2.417
Goodwill_Intangibles,0.2,1.0,1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
Shares_Diluted,9.5677,4.2491,1.6527,0.7377,0.6183,0.6851,0.3602,0.2691,121.8194,52.6358,24.214,3.667,0.3147,0.3085,0.3332,0.3086,0.3332
Total_Assets,0.2,1.0,1.1,0.3,0.5,0.4,0.3,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Total_Liabilities,5.5,5.4,5.2,5.0,4.8,5.8,7.5,5.4,4.1,9.6,9.0,16.0,10.8,9.7,9.5,10.3,10.1
