AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,481.4,497.2,506.0,582.6,584.8,645.7,732.0,786.1,861.9,1026.3,489.9,247.0,,,,,
Current_Liabilities,74.6,83.4,92.6,106.6,78.0,124.4,135.9,143.8,164.2,163.7,162.7,115.3,,,,,
Diluted_EPS,0.012,-0.013,-0.052,-0.061,-0.065,-0.106,-0.081,-0.087,-0.073,-0.366,-0.229,-0.181,-0.153,0.005,-0.008,,
Goodwill_Intangibles,219.8,219.2,211.2,216.9,222.1,228.9,205.7,211.4,219.9,30.4,4.5,4.6,,,,,
Inventory,54.3,60.0,69.2,71.7,82.8,98.6,95.3,89.4,109.7,89.3,67.8,65.2,,,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,108.5,142.5,121.6,134.9,126.3,216.5,190.3,216.1,209.1,284.0,183.3,147.1,149.9,179.1,117.8,106.9,68.1
Shares_Diluted,593.2917,588.474,564.3028,618.7837,631.6883,631.9929,631.6134,631.6134,631.6134,631.6134,622.8009,622.8009,,,,,
Total_Assets,817.0,830.9,838.0,927.0,946.4,1030.7,1086.0,1135.6,1230.8,1202.9,628.6,368.9,,,,,
Total_Liabilities,150.4,162.0,171.8,196.3,174.6,228.6,221.2,235.6,270.6,211.3,213.6,162.8,,,,,
