AAII_QTR_DATA,12/31/2022,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018,12/31/2017,06/30/2017,12/31/2016
Current_Assets,3663.5,3082.4,3086.4,2604.3,2572.0,2557.7,2568.5,2509.7,2626.4,3191.6,3104.2,2662.9,2723.4
Current_Liabilities,5553.5,4483.2,0.0,4697.5,3803.3,3330.0,3339.0,3161.6,3332.1,4189.9,4070.2,2785.3,2514.6
Diluted_EPS,0.013,0.023,0.006,0.029,0.023,0.018,0.021,0.027,0.031,0.033,0.026,0.032,0.022
Goodwill_Intangibles,681.4,697.5,715.5,716.8,697.1,656.6,675.1,723.6,724.0,743.0,749.6,730.0,716.8
Inventory,437.2,422.6,400.8,333.8,340.8,302.8,301.6,308.2,316.1,306.0,328.5,289.5,271.5
LT_Debt,5070.3,5292.6,4351.1,4276.4,3992.1,3910.2,3661.6,3543.2,3518.0,2881.6,2696.0,3466.1,3511.4
Revenue,3985.3,3792.4,3679.5,3155.2,2895.5,2326.8,2587.2,2596.9,2526.9,2451.8,2171.6,1988.4,1851.7
Shares_Diluted,18659.87,18659.87,18659.87,18659.87,18659.89,18659.89,18659.91,18659.91,18659.93,18659.93,18659.94,17771.99,17772.77
Total_Assets,21496.7,21049.9,21445.4,20420.2,19175.8,17750.8,17924.0,17253.7,16907.8,17190.1,16697.3,15672.0,15017.9
Total_Liabilities,13379.8,12606.2,12537.6,11548.7,10353.2,9598.1,9426.6,8940.1,8956.7,9049.9,8697.5,8079.9,7777.2
