AAII_QTR_DATA,07/31/2022,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,06/30/2020,04/30/2020,03/31/2020,01/31/2020,12/31/2019,10/31/2019,09/30/2019,07/31/2019,06/30/2019,04/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,1006.6,1060.4,1062.6,1016.1,1167.4,1173.1,1166.7,335.1,333.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Current_Liabilities,131.3,150.2,129.2,132.2,140.1,124.5,104.1,112.4,124.4,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Diluted_EPS,-0.673,-0.551,-0.375,-0.547,-0.367,-0.217,-0.167,-0.155,0.002,0.258,-0.316,-2.5860000000000003,-0.102,0.7170000000000001,-0.299,-0.233,-0.003,-0.665,-0.142,0.523,-0.87,-0.192
Goodwill_Intangibles,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,74.4,0.0,74.3,0.0,74.3,0.0,74.2,0.0,74.2,74.1,74.0
Revenue,65.3,72.3,69.8,58.3,52.4,52.3,49.1,41.3,40.5,15.9,41.6,,41.3,51.6,38.9,20.4,34.9,6.0,23.7,47.9,,30.6
Shares_Diluted,106.842,106.093,105.093,103.746,102.155,110.8887,100.9317,96.3306,96.3306,36.666,,36.711,,37.135,,36.571999999999996,,36.533,,33.139,30.405,29.381999999999998
Total_Assets,1137.2,1170.9,1187.5,1164.9,1191.5,1196.5,1184.6,355.6,355.8,785.8,,2358.3,,4000.1,,4099.5,,4063.9,,4673.2,4099.5,4536.4
Total_Liabilities,158.2,181.4,160.8,138.4,147.7,135.3,110.5,121.4,141.4,546.8,,2125.5,,3672.9,,3791.4,,3739.6,,4316.7,3825.0,4225.7
