AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
Current_Assets,399.2,419.8,439.1,472.1,0.5,,,,1.4
Current_Liabilities,95.7,128.0,89.0,89.0,8.4,,,,0.2
Diluted_EPS,-0.086,-0.05,-0.11,-0.302,0.147,-0.024,-0.046,-0.127,0.218
Goodwill_Intangibles,14.3,,,,0.0,,,,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,213.4,92.8,87.5,96.3,0.0,0.0,0.0,0.0,0.0
Revenue,186.6,192.9,204.0,352.1,,154.7,136.6,183.3,0.0
Shares_Diluted,711.0704,683.3116,681.0711,681.0711,35.9375,,,,33.4269
Total_Assets,1082.4,1045.1,1049.6,981.7,288.2,,,,288.9
Total_Liabilities,554.4,491.6,482.4,408.9,34.2,,,,24.8
