AAII_QTR_DATA,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,2481.2,1963.7,2594.6,3780.4,4381.4,4210.7,5001.5,4354.6,4922.9
Current_Liabilities,2236.3,2134.4,2576.2,3549.2,3866.9,3716.9,4291.8,3823.3,3093.1
Diluted_EPS,-5.4,-0.238,-1.306,-1.79,0.201,0.276,0.243,0.158,0.39799999999999996
Goodwill_Intangibles,0.0,527.5,546.6,502.2,512.9,506.8,517.5,528.3,489.4
Inventory,886.5,761.0,590.3,1137.7,1154.5,1133.8,1195.1,943.2,1317.9
LT_Debt,5530.5,5026.0,5207.5,4534.5,4583.5,4558.3,4755.0,3507.1,4077.2
Revenue,2546.3,1820.5,3114.4,3669.4,4051.4,4010.1,3475.0,3821.8,4635.5
Shares_Diluted,1005.1,1005.1,1005.1,1005.1,1005.1,1005.1,1005.1,1005.8,1007.4
Total_Assets,16391.1,22553.2,23798.1,25357.5,28029.4,27678.8,28612.8,26967.6,25950.4
Total_Liabilities,10111.0,10690.6,11466.9,12126.8,12776.8,12599.2,13596.7,11960.7,11659.9
