AAII_QTR_DATA,06/30/2022,12/31/2021,06/30/2021,12/31/2020
Current_Assets,48.3,55.9,,
Current_Liabilities,25.8,41.5,,
Diluted_EPS,0.362,0.173,0.326,0.263
Goodwill_Intangibles,0.4,0.5,,
Inventory,9.8,9.8,,
LT_Debt,0.0,0.0,0.0,0.0
Revenue,66.2,35.9,64.6,33.8
Shares_Diluted,,,,
Total_Assets,66.0,74.9,,
Total_Liabilities,25.9,42.0,,
