AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,192.0,255.9,252.2,282.8,237.9,291.1,256.7,385.1,613.0,654.4,24.4,,,,,,1.5
Current_Liabilities,58.8,68.8,86.1,60.8,203.1,147.6,87.9,81.4,67.0,34.1,101.7,,,,,,0.2
Diluted_EPS,-0.714,-0.454,-0.729,0.317,-0.456,-0.42,-0.536,-0.613,-0.718,-0.638,-0.378,-0.12,-0.165,-0.061,-0.002,0.0,0.008
Goodwill_Intangibles,,0.0,1.0,1.0,1.0,1.0,0.0,11.1,11.1,11.1,11.1,,,,,,0.0
Inventory,6.3,13.7,11.2,4.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,239.754,225.287,211.946,201.015,196.503,193.169,178.761,176.585,174.325,96.716,164.9489,,,,,,33.4444
Total_Assets,272.4,452.3,501.1,598.2,660.8,688.8,623.9,687.3,779.1,767.2,57.4,,,,,,281.9
Total_Liabilities,59.7,70.3,88.6,62.4,206.2,149.2,91.4,88.3,75.8,136.5,102.7,,,,,,10.0
