AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
Current_Assets,1516.4,2236.6,1959.3,2013.6,2100.6,2062.0,1272.4,1631.0,985.0,891.4,584.6,457.9,,
Current_Liabilities,1503.9,1322.3,1040.3,1151.5,1336.3,1157.2,988.4,992.4,833.7,691.0,480.7,538.0,,
Diluted_EPS,-0.095,0.076,0.11,0.317,0.028,0.099,0.252,0.357,0.246,0.21,-1.158,0.135,-0.635,-0.715
Goodwill_Intangibles,4517.1,2444.2,2416.6,2463.4,2510.5,2531.7,2553.4,2096.0,2047.8,1965.0,1477.1,1462.2,,
Inventory,3.4,2.9,1.7,1.7,1.9,1.7,0.6,0.5,0.1,0.1,0.7,0.7,,
LT_Debt,1741.3,678.2,680.0,681.2,681.9,677.0,677.2,678.0,279.6,279.8,139.5,1049.6,0.0,0.0
Revenue,346.5,297.6,266.2,285.4,289.7,286.2,248.4,240.7,197.9,152.4,123.4,107.4,106.6,314.8
Shares_Diluted,139.6553,142.8535,143.7164,144.8848,146.6048,147.4095,144.0065,143.2653,143.1283,136.2625,89.2172,126.3272,,
Total_Assets,6132.7,4760.8,4447.0,4547.3,4683.0,4667.3,3908.1,3811.3,3132.1,2956.3,2157.8,2012.3,,
Total_Liabilities,3490.6,2101.6,1815.9,1931.6,2120.8,1952.8,1792.8,1756.4,1203.5,1050.3,643.9,1610.5,,
