AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,4.3,2.2,2.3,1.7,1.3,3.4,1.8,0.2,0.4,0.2,,
Current_Liabilities,5.1,5.1,4.6,3.7,3.4,2.8,1.3,1.2,1.0,0.5,,
Diluted_EPS,-0.06,-0.039,0.067,-0.087,-0.104,-0.017,-0.002,-0.008,-0.017,-0.008,0.0,-0.003
Goodwill_Intangibles,3.9,3.9,3.9,5.9,3.8,0.1,0.1,0.3,,,,
Inventory,1.1,1.2,1.0,1.2,1.0,0.2,0.1,0.1,0.1,0.1,,
LT_Debt,0.7,0.4,0.2,1.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,0.8,0.8,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,66.7751,65.0685,57.9601,54.1228,46.8265,37.8941,35.4615,32.3084,31.794,31.794,,
Total_Assets,9.9,10.1,11.0,9.3,8.6,5.9,4.8,0.9,0.9,0.2,,
Total_Liabilities,8.7,7.8,7.0,7.3,4.1,2.9,1.4,1.3,1.2,0.5,,
