AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
Current_Assets,0.7,0.7,0.1,0.1,0.0,0.0,0.1
Current_Liabilities,1.2,1.0,1.5,1.6,1.2,22.1,3.7
Diluted_EPS,0.0,0.0,0.0,0.0,0.001,-0.001,0.0
Goodwill_Intangibles,0.5,0.5,0.5,0.5,0.9,0.9,1.3
Inventory,0.0,,,,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.1,0.0,0.0,0.0,0.0
Shares_Diluted,12499.65,12024.7,14537.17,19470.93,14860.06,13337.81,12242.35
Total_Assets,1.5,1.3,0.6,0.6,1.3,1.2,1.8
Total_Liabilities,1.2,1.0,1.5,1.6,1.2,22.1,3.7
