AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,106.4,129.5,119.4,125.1,201.4,109.5,114.5,140.1,146.0,135.9,114.3,113.5,72.4,70.0,50.3,,,
Current_Liabilities,79.2,103.2,96.6,98.0,173.2,76.5,61.6,70.9,80.6,62.9,47.3,46.1,56.7,54.6,38.3,,,
Diluted_EPS,0.023,-0.029,-0.109,0.029,0.058,-0.215,-0.211,0.078,-0.075,0.041,-0.01,-0.016,-0.041,0.001,,,-0.0279999999999999,-0.016
Goodwill_Intangibles,7.6,7.7,7.7,8.4,3.1,2.0,1.2,0.4,0.4,0.3,0.2,0.2,0.3,0.2,0.3,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,2.8,2.8,2.8,6.5,9.4,7.8,5.8,0.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0
Revenue,36.6,49.9,35.2,42.4,138.4,44.7,31.0,104.2,56.2,50.5,34.0,36.8,40.5,43.9,31.0,38.4,27.0,22.3
Shares_Diluted,51.033,51.0592,51.0119,51.2902,48.6188,51.9178,51.9178,51.9178,51.9178,51.9178,51.9178,51.9178,51.9178,51.9178,,,,
Total_Assets,154.4,178.3,181.5,191.0,263.3,163.7,164.3,187.3,193.4,143.0,121.2,120.2,79.8,76.4,56.0,,,
Total_Liabilities,106.1,130.7,133.7,138.6,212.2,115.7,105.4,117.1,125.6,69.9,49.2,47.9,56.9,54.7,38.9,,,
