AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,12/31/2019,09/30/2019
Current_Assets,940.7,1025.5,1045.7,1144.0,1174.4,929.8,803.7,864.0,908.0,813.3,114.0,,,
Current_Liabilities,89.6,118.3,106.1,221.1,213.4,120.7,49.5,69.8,88.4,103.5,20.1,,,
Diluted_EPS,-0.139,-0.104,0.084,-0.024,0.541,0.198,-0.077,-0.009,0.366,0.434,0.007,0.025,-0.006,-0.002
Goodwill_Intangibles,176.7,179.3,190.4,191.0,193.6,196.2,198.3,141.7,144.2,146.7,13.9,,,
Inventory,1.4,1.5,,,,1.7,1.3,1.2,1.2,1.4,1.0,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,0.9,2.2,1.9,0.0,0.0,0.0
Revenue,12.2,21.5,101.4,45.9,316.6,139.3,5.5,27.6,202.7,207.9,25.2,11.2,3.2,8.4
Shares_Diluted,287.7671,286.3076,315.8182,284.6865,311.482,303.2078,278.9338,272.1961,320.2827,269.4978,265.5653,,,
Total_Assets,1497.9,1540.9,1552.4,1593.8,1592.3,1318.6,1172.7,1151.9,1128.5,1005.5,142.4,,,
Total_Liabilities,289.4,307.6,302.2,380.9,384.8,292.8,219.3,184.2,171.4,175.0,53.1,,,
