AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,178.9,195.1,224.0,192.0,180.4,158.8,144.7,73.4,,,
Current_Liabilities,54.1,67.0,61.5,47.7,52.5,46.6,29.1,15.1,,,
Diluted_EPS,0.014,0.178,-0.035,-0.19,-0.032,-0.341,0.012,0.431,-0.25,0.106,0.116
Goodwill_Intangibles,612.2,617.3,622.4,627.4,662.9,667.8,673.7,522.1,,,
Inventory,125.0,133.0,165.8,128.2,126.5,102.3,113.6,48.6,,,
LT_Debt,102.3,108.4,166.9,148.0,144.0,125.0,372.6,212.8,0.0,0.0,0.0
Revenue,88.2,197.2,102.2,136.0,82.2,176.5,69.4,157.8,133.4,29.1,37.5
Shares_Diluted,63.89,63.561,63.47,63.416,63.401,94.5764,96.8144,96.8144,,,
Total_Assets,840.0,862.3,897.5,859.2,882.2,837.7,825.5,598.8,,,
Total_Liabilities,472.8,498.9,546.8,508.6,520.4,476.9,420.6,250.6,,,
