AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,162.0,197.1,192.3,191.0,180.6,218.6,186.4,197.3,196.0,185.0,185.3,187.8
Current_Liabilities,48.5,99.2,94.5,80.8,78.1,78.7,82.2,76.0,79.9,78.7,77.6,83.6
Diluted_EPS,2.139,-0.071,-0.126,0.021,-0.126,-0.158,0.128,0.098,0.046,0.005,-0.071,0.028
Goodwill_Intangibles,81.3,174.6,84.8,181.0,184.2,187.4,190.5,192.5,196.0,200.8,195.3,159.5
Inventory,91.0,105.2,85.2,98.1,99.7,106.9,104.7,114.5,115.2,109.9,108.3,117.4
LT_Debt,1.8,146.4,145.8,165.1,165.4,207.1,170.1,192.6,190.7,185.5,180.7,146.0
Revenue,67.2,57.4,144.2,150.1,52.0,55.0,155.7,159.4,158.3,136.9,133.0,127.6
Shares_Diluted,27.172,25.5671,25.4439,25.7627,25.3286,25.2945,25.3353,25.1893,25.3838,25.7663,25.6674,26.6115
Total_Assets,265.3,403.9,411.5,410.1,404.8,448.0,420.3,431.2,429.3,423.1,416.0,380.2
Total_Liabilities,52.2,250.7,257.3,253.7,250.0,291.2,259.0,275.5,277.4,273.7,267.3,229.6
