AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,06/30/2020,03/31/2020
Current_Assets,5404.0,6092.0,5777.0,3856.0,3115.0,,,,
Current_Liabilities,4609.0,5058.0,4544.0,3709.0,3752.0,,,,
Diluted_EPS,-1.11,-1.021,-3.304,-3.087,-1.755,-2.206,-8.981,-1.666,-3.0460000000000003
Goodwill_Intangibles,969.0,968.0,768.0,1248.0,1262.0,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,3107.0,3127.0,3128.0,280.0,285.0,0.0,0.0,0.0,0.0
Revenue,4288.0,4431.0,4555.0,4579.0,4751.0,4772.0,19352.0,4737.0,4832.0
Shares_Diluted,225.3,224.4,223.9919,224.136,223.9202,,,,
Total_Assets,12304.0,13442.0,13213.0,12063.0,11066.0,,,,
Total_Liabilities,10188.0,10825.0,10514.0,6633.0,6244.0,,,,
