AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,,3.8,4.5,5.4,6.2,6.1,5.8,6.4,6.9,6.8,7.9,9.2,12.1,8.2,7.1
Current_Liabilities,,0.2,0.2,0.2,0.3,0.3,,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2
Diluted_EPS,,-0.137,-0.151,-0.052,0.091,-0.383,-0.115,-0.082,0.005,-0.216,-0.244,-0.555,0.753,0.204,0.2
Goodwill_Intangibles,0.4,0.4,0.4,0.4,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,,5.4491,5.4491,5.4491,5.5303,5.1421,5.1421,5.1421,5.1421,5.1421,5.1421,5.1421,5.1421,5.1421,5.1421
Total_Assets,3.3,4.2,4.9,5.8,6.6,6.5,6.2,6.8,7.3,7.2,8.3,9.5,12.4,8.6,7.5
Total_Liabilities,0.2,0.2,0.2,0.2,0.8,2.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2
