AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,548.5,712.2,806.1,818.4,747.4,544.6,457.4,329.4,145.8,99.4,116.0,138.0,147.5,223.9,214.6,,,
Current_Liabilities,74.3,98.0,209.2,311.1,295.5,205.1,190.9,251.6,85.8,24.1,36.5,43.2,44.7,103.6,94.3,,,
Diluted_EPS,-0.514,0.05,0.853,0.363,1.076,0.411,0.136,0.001,-0.067,-0.08,-0.016,-0.038,-0.792,0.093,-0.258,-0.067,-0.027,-0.064
Goodwill_Intangibles,12.4,10.5,7.3,6.4,2.9,0.9,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,208.9,188.3,230.5,169.1,115.1,118.1,83.2,53.3,32.7,7.7,13.0,33.6,30.7,60.7,65.0,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,55.5,138.6,426.4,192.2,309.6,186.7,153.3,57.1,5.5,23.6,26.4,10.1,72.6,103.9,37.4,7.4,42.4,72.5
Shares_Diluted,168.3601,172.0362,172.0072,172.1823,169.4882,176.8187,174.7794,161.566,155.4972,156.6743,156.6749,156.6749,158.1481,158.1481,158.1481,,,
Total_Assets,676.6,791.1,878.0,885.9,798.3,556.8,464.5,334.7,150.1,104.9,134.6,144.2,155.5,247.3,223.8,,,
Total_Liabilities,76.3,100.6,211.6,323.1,308.1,207.7,201.4,252.8,87.4,26.3,39.1,46.4,46.8,106.3,97.2,,,
