AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019
Current_Assets,696.6,604.4,653.0,665.9,774.2,742.6,430.7,420.7,654.2,629.9,588.3,660.6
Current_Liabilities,119.1,122.9,120.4,116.4,131.7,149.8,229.3,272.3,206.4,213.9,464.6,436.4
Diluted_EPS,-4.715,-0.377,-0.06,-0.648,-1.007,-1.773,-0.851,-16.705,-1.395,-14.246,0.113,-3.6630000000000003
Goodwill_Intangibles,492.7,1243.4,1249.3,1255.2,1306.1,1315.5,1326.3,1340.1,2916.5,2912.8,3855.7,3860.9
Inventory,129.9,149.5,155.8,137.7,122.9,200.8,184.7,157.3,281.8,251.2,202.5,161.9
LT_Debt,343.6,369.9,363.2,358.6,407.7,418.8,369.9,378.6,539.1,544.4,521.1,395.2
Revenue,50.4,60.6,60.1,54.6,55.2,67.7,67.6,66.3,73.5,55.1,73.7,245.5
Shares_Diluted,214.6562,198.211,198.0737,197.8398,159.5448,168.0025,117.4712,111.3899,99.8739,90.7165,86.6326,80.1229
Total_Assets,1570.3,2485.4,2560.3,2604.7,2835.4,2830.2,2757.3,2783.1,4717.7,4671.9,5606.8,5499.2
Total_Liabilities,480.7,531.2,535.3,567.0,657.3,633.0,603.3,632.3,799.6,828.3,1140.3,1116.3
