AAII_QTR_DATA,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Current_Assets,50.8,64.4,79.4,71.4,68.2,98.9,122.4,115.3
Current_Liabilities,62.0,82.2,100.9,116.7,110.2,102.3,100.3,94.5
Diluted_EPS,-6.429,-1.125,0.683,-33.404,-51.851,-60.45,8.177,-26.507
Goodwill_Intangibles,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.3
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,56.2,51.1,83.2,81.6,102.4,105.7,126.4,107.0
Shares_Diluted,0.4148,0.3941,0.3881,0.3712,0.3623,0.3633,0.3814,0.3674
Total_Assets,56.4,71.9,87.5,101.7,96.9,108.3,129.2,121.5
Total_Liabilities,62.4,82.8,101.5,117.9,110.7,102.8,100.9,95.0
