AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,375.1,531.1,499.3,496.2,511.6,522.5,504.1,495.4,616.9,616.2,480.6,464.5,178.8,186.3,688.8,669.9,209.2,218.3,342.8
Current_Liabilities,176.9,192.0,166.2,160.3,171.8,168.4,163.9,153.0,153.4,145.8,145.1,119.8,140.5,133.0,116.2,99.7,100.4,73.7,61.0
Diluted_EPS,-0.009,-0.563,-0.484,-0.441,-0.413,-0.446,-0.558,-0.535,-0.46,-0.692,-0.499,-0.7609999999999999,-0.7020000000000001,-0.325,-0.389,-0.385,-0.441,-0.273,-0.206
Goodwill_Intangibles,652.8,658.6,659.1,663.8,669.2,675.3,683.8,692.7,638.2,647.1,656.6,666.3,676.3,685.9,162.0,165.1,168.1,171.2,20.6
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,489.0,657.8,657.1,656.5,655.8,551.6,544.7,537.9,564.5,557.5,441.5,435.9,430.3,424.8,419.3,413.9,185.3,182.7,180.1
Revenue,153.0,146.5,144.8,140.3,134.1,131.9,126.7,123.6,116.5,109.0,103.8,97.6,92.4,86.8,79.7,77.6,71.3,67.2,60.5
Shares_Diluted,57.885,57.585,57.362,57.234,57.015,56.85,56.559,56.36,55.798,54.653,53.574,51.24100000000001,48.581,48.235,47.782,44.978,43.773,43.397,42.993
Total_Assets,1184.4,1349.7,1333.4,1343.7,1364.1,1385.0,1379.6,1383.6,1420.5,1416.7,1293.5,1281.6,1002.5,1009.4,977.7,951.8,490.4,463.7,435.1
Total_Liabilities,745.3,930.7,903.1,902.8,917.9,814.7,797.9,786.1,787.5,773.3,656.3,634.1,641.6,630.0,595.8,565.9,338.0,304.8,275.1
