AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
Current_Assets,1271.2,1338.1,1451.8,1327.6,1211.2,1275.6,1270.7,1122.5
Current_Liabilities,866.6,785.8,856.3,814.4,739.2,766.3,629.4,601.7
Diluted_EPS,-0.093,-0.061,-0.587,-1.233,-1.204,-0.387,-0.46,-3.527
Goodwill_Intangibles,39.7,40.9,42.1,45.1,78.1,86.2,86.8,88.3
Inventory,696.6,890.1,980.1,749.4,745.2,802.4,854.0,727.9
LT_Debt,496.6,646.1,678.8,580.5,541.1,543.2,669.8,551.2
Revenue,655.6,508.3,343.9,483.4,428.9,394.2,333.3,386.9
Shares_Diluted,25.0,25.0,25.0,25.0,25.0,25.0,25.0,34.928
Total_Assets,1630.7,1698.1,1812.4,1698.5,1600.7,1675.6,1681.8,1539.5
Total_Liabilities,1478.2,1547.7,1652.4,1523.2,1408.4,1449.1,1440.7,1291.8
