AAII_QTR_DATA,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,168.6,159.0,133.3,117.8,104.9,95.4,67.6,66.0,71.6
Current_Liabilities,53.4,56.6,60.9,54.0,46.5,40.8,23.5,21.5,23.9
Diluted_EPS,0.089,0.011,0.046,-0.008,0.003,-0.133,-0.054,-0.099,-0.29100000000000004
Goodwill_Intangibles,57.8,59.6,61.3,63.1,65.0,66.9,38.1,39.4,40.7
Inventory,18.9,17.8,15.0,11.3,10.8,10.0,7.3,5.4,5.4
LT_Debt,78.4,78.3,58.6,58.6,58.5,58.4,52.3,51.7,50.5
Revenue,39.4,36.6,38.3,31.6,30.3,29.7,19.8,18.0,14.2
Shares_Diluted,105.7836,108.1112,106.9658,88.0185,105.1389,83.8218,71.3448,70.8619,64.9
Total_Assets,228.0,220.1,196.6,182.9,173.6,166.1,109.6,108.5,115.5
Total_Liabilities,132.1,135.3,120.0,113.1,105.7,99.9,82.1,78.8,79.9
