AAII_QTR_DATA,03/27/2023,12/25/2022,09/26/2022,06/26/2022,03/27/2022,12/26/2021,09/26/2021,06/27/2021,03/28/2021,12/27/2020,09/27/2020,06/28/2020,12/29/2019,09/29/2019
Current_Assets,35.9,65.3,64.9,69.3,48.9,59.0,67.1,66.3,,,,,,
Current_Liabilities,83.7,77.3,58.1,53.5,51.8,66.9,62.3,66.0,,,,,,
Diluted_EPS,-0.01,0.082,0.037,0.129,0.005,-0.52,0.018,0.243,,,0.039,-0.15,,
Goodwill_Intangibles,649.3,650.0,651.7,652.5,653.3,654.1,654.8,656.1,,,,,,
Inventory,5.3,7.4,5.9,5.6,5.1,6.1,4.4,3.6,,,,,,
LT_Debt,289.0,314.4,315.3,315.4,315.6,315.8,466.8,466.6,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,156.1,150.9,151.1,150.6,134.5,138.9,138.0,140.7,117.3,118.5,119.7,217.3,125.5,121.6
Shares_Diluted,49.5991,48.5066,42.6252,39.6871,39.9441,35.8072,35.8072,33.5672,,,,,,
Total_Assets,1301.7,1280.1,1064.1,1007.9,989.3,999.6,929.5,924.0,,,,,,
Total_Liabilities,1011.5,1023.7,840.7,825.3,815.9,828.3,566.7,568.3,,,,,,
