AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
Current_Assets,310.3,295.9,262.5,231.1,250.1,273.2,271.3,322.1,316.3,,
Current_Liabilities,204.7,207.8,189.8,172.9,170.6,186.6,403.7,151.2,147.9,,
Diluted_EPS,-0.21,0.036,0.13,0.173,0.294,0.275,0.043,0.041,0.019,0.016,0.043
Goodwill_Intangibles,37.3,38.1,36.6,36.7,37.4,38.1,17.8,18.3,15.7,,
Inventory,11.4,10.2,9.4,8.1,7.9,6.5,4.8,4.9,4.9,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,71.2,74.0,71.7,62.6,62.4,67.9,65.9,59.2,53.3,57.2,53.2
Shares_Diluted,,196.6712,193.1883,192.1332,188.5405,188.5405,188.5405,188.5405,188.5405,,
Total_Assets,412.7,403.3,352.5,324.8,324.6,339.8,315.1,369.9,358.9,,
Total_Liabilities,373.3,329.4,293.0,300.8,336.8,413.1,445.1,191.1,189.5,,
