AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018,12/31/2017,06/30/2017,12/31/2016,06/30/2016
Current_Assets,125.8,242.2,261.5,370.5,229.8,241.7,262.5,261.1,174.6,182.5,89.5,128.1,44.5
Current_Liabilities,150.8,151.0,186.5,258.1,114.8,150.2,119.4,154.3,85.2,126.5,44.9,107.0,30.9
Diluted_EPS,-0.767,0.569,1.374,0.154,0.99,1.16,0.978,0.689,0.918,0.462,0.6729999999999999,0.311,0.568
Goodwill_Intangibles,2.7,14.2,14.3,14.4,14.5,14.6,14.7,14.2,12.2,12.1,12.0,12.1,11.8
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,4.5,4.5,3.3,3.4,2.8,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,0.6,64.4,94.5,44.2,43.0,109.1,54.8,96.6,103.3,76.7,73.3,55.4,95.8
Shares_Diluted,25.6175,26.0068,25.9788,25.7781,25.7781,25.7781,25.7781,25.7781,25.8125,25.7521,25.7005,25.7005,25.6532
Total_Assets,484.3,508.0,527.4,563.2,420.4,429.5,370.6,375.3,292.0,306.0,211.0,254.8,165.9
Total_Liabilities,158.4,158.7,192.9,264.0,120.3,154.9,126.0,158.6,87.3,126.5,44.9,107.0,30.9
