AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
Current_Assets,112.9,132.9,71.3,83.0,,,,
Current_Liabilities,186.8,135.5,113.9,80.4,,,,
Diluted_EPS,,-0.186,-0.166,-0.144,-0.132,-0.106,-0.074,-0.053
Goodwill_Intangibles,13.6,12.2,11.5,11.0,,,,
Inventory,10.1,7.4,7.8,6.0,,,,
LT_Debt,51.4,52.0,51.8,46.8,0.0,0.0,0.0,0.0
Revenue,42.7,43.3,25.4,31.8,31.7,25.8,19.2,14.4
Shares_Diluted,,148.3551,148.3551,,148.3551,,,
Total_Assets,374.5,246.5,175.4,182.1,,,,
Total_Liabilities,359.0,203.5,173.7,134.6,,,,
