AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,806.5,785.8,735.4,701.4,713.3,734.5,825.7,594.0,656.3,536.3,,,,,,
Current_Liabilities,159.0,152.4,139.1,144.3,177.0,190.0,212.7,193.7,184.1,178.6,,,,,,
Diluted_EPS,0.044,0.06,0.073,0.037,-0.026,-0.172,-0.251,-0.173,-0.182,,,,-0.09,,,
Goodwill_Intangibles,8.5,8.5,8.5,8.5,8.5,8.6,8.5,8.5,8.1,8.1,,,,,,
Inventory,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,96.3,109.4,99.4,91.9,85.6,110.5,133.1,125.2,120.2,125.0,98.6,96.8,84.3,,,
Shares_Diluted,406.695,399.9147,400.606,401.795,394.2802,394.0716,394.1265,394.1265,394.1265,,,,,,,
Total_Assets,839.4,817.8,766.4,732.0,744.2,765.9,854.8,619.6,681.2,560.8,,,,,,
Total_Liabilities,163.9,156.2,144.6,153.5,181.0,195.1,218.2,218.5,220.8,217.3,,,,,,
