AAII_QTR_DATA,04/01/2023,12/31/2022,09/24/2022,06/25/2022,03/26/2022,12/25/2021,09/25/2021,06/26/2021,03/27/2021,12/26/2020,09/26/2020,06/27/2020,03/28/2020,12/28/2019
Current_Assets,346.2,330.9,255.8,227.4,210.1,195.2,194.6,187.7,,,,,,
Current_Liabilities,116.5,122.2,116.0,101.0,96.8,92.3,103.1,102.1,,,,,,
Diluted_EPS,0.077,-0.284,0.014,-0.3,0.04,-0.038,-0.046,-0.014,0.12,-0.005,0.023,0.075,0.018,-0.096
Goodwill_Intangibles,741.3,746.9,839.6,846.4,895.3,902.1,908.9,915.7,,,,,,
Inventory,86.7,92.6,84.1,76.6,49.9,51.6,60.3,79.9,,,,,,
LT_Debt,482.6,482.3,482.1,481.9,481.7,481.4,768.9,768.5,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,252.8,262.1,208.9,197.4,209.9,189.2,178.7,161.8,189.4,161.7,136.9,141.3,120.1,105.2
Shares_Diluted,101.5077,100.9684,101.6139,100.8978,101.2621,100.8925,100.8925,97.3924,,,,,,
Total_Assets,1166.0,1158.8,1178.5,1157.2,1190.3,1177.9,1183.3,1182.4,,,,,,
Total_Liabilities,677.1,682.8,679.2,665.3,672.7,668.4,972.8,968.2,,,,,,
