AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,14.9,13.9,21.4,23.2,27.8,,0.5,,,1.5,0.1,
Current_Liabilities,18.1,15.8,13.6,36.3,28.7,,2.3,,,49.5,0.3,
Diluted_EPS,-0.2,-0.115,-0.115,-0.213,-0.093,-0.252,0.282,-0.037,-0.07,-0.888,0.0,0.0
Goodwill_Intangibles,0.2,0.2,0.3,0.3,0.3,,0.0,,,0.0,0.0,0.0
Inventory,2.2,2.2,2.5,2.1,2.1,,0.0,,,0.0,0.0,0.0
LT_Debt,8.3,7.8,12.6,12.9,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,1.6,2.4,1.7,3.1,1.7,6.3,0.0,1.1,1.4,0.0,0.0,0.0
Shares_Diluted,123.1441,111.5779,116.2568,119.2973,125.3808,,37.5,,,30.8596,37.5,
Total_Assets,27.5,26.9,33.7,35.7,40.8,,300.7,,,301.5,0.3,
Total_Liabilities,34.8,32.9,37.9,55.8,48.6,,23.9,,,49.5,0.3,
