AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,40.8,43.1,44.1,49.4,55.1,54.1,52.1,55.6,55.6,52.9,52.7,51.9,53.1,55.2,52.8,54.6,56.3,52.3,50.7,57.4
Current_Liabilities,17.7,19.4,19.0,20.8,23.6,21.0,21.0,23.5,25.6,21.7,19.7,20.1,20.6,21.8,19.9,20.4,21.3,19.9,20.6,22.5
Diluted_EPS,0.226,-0.186,-0.055,-0.193,-0.025,0.125,0.017,0.171,-0.055,-0.021,0.061,0.098,0.085,0.05,-0.157,0.3,0.108,0.246,0.084,0.103
Goodwill_Intangibles,9.7,10.1,10.4,10.9,11.7,12.2,12.7,13.4,14.0,14.3,14.5,14.9,15.4,16.3,16.7,16.8,18.6,19.2,21.0,21.8
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.2,0.3,0.3,0.5,0.1,0.1,0.4,0.7,0.9,1.6,1.7,1.5,0.3,0.4,0.5,0.6,0.7,0.3,0.3,0.3
Revenue,13.5,12.4,12.7,13.5,14.8,15.5,13.4,15.4,13.8,13.1,12.6,13.6,13.5,15.7,13.6,17.3,17.1,17.0,16.4,16.6
Shares_Diluted,11.284,11.2702,11.2575,11.2525,11.2496,11.2445,11.2542,11.2843,11.3434,11.58,11.7872,11.9962,11.7531,11.7246,11.6642,11.657,11.6913,11.5922,11.5077,11.4337
Total_Assets,59.5,64.8,66.4,72.6,82.1,81.5,80.9,86.6,88.3,85.5,83.1,88.5,86.4,91.0,88.4,87.5,91.7,88.1,90.3,99.8
Total_Liabilities,21.8,24.5,24.4,27.2,31.0,28.4,28.3,32.0,34.7,31.5,29.2,29.5,28.9,31.0,30.9,29.4,32.7,30.5,32.2,37.0
