AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,42.9,42.4,47.3,40.1,38.6,35.9,38.0,32.9,28.0,26.6,27.5,25.3,24.6,23.5,28.7
Current_Liabilities,5.5,4.7,7.7,6.4,5.6,3.7,6.7,6.0,3.8,2.8,4.2,3.5,3.9,3.0,8.1
Diluted_EPS,0.14,0.066,0.345,0.274,0.201,0.093,0.492,0.365,0.066,0.069,0.12,0.10800000000000001,0.076,-0.013,0.13699999999999998
Goodwill_Intangibles,1.3,1.4,1.5,1.5,1.6,1.7,1.7,1.8,1.9,1.9,1.9,1.9,2.0,2.1,2.1
Inventory,20.0,16.8,16.8,16.7,14.2,13.2,12.3,11.7,11.4,9.6,11.4,11.7,12.5,12.1,11.7
LT_Debt,7.5,7.8,8.0,3.5,3.6,3.7,3.9,4.0,4.0,4.1,4.2,4.3,4.4,4.5,4.6
Revenue,12.7,14.0,21.5,15.7,13.1,12.9,19.2,15.7,7.8,9.7,12.5,10.9,9.1,8.8,13.2
Shares_Diluted,9.2806,9.4976,9.4858,9.4829,9.4818,9.4793,9.4621,9.4586,9.4448,9.45,9.3986,9.3745,9.3743,9.3388,9.3093
Total_Assets,62.0,60.3,63.1,54.3,51.2,47.9,50.1,45.0,39.8,38.3,39.1,37.2,36.7,35.2,40.6
Total_Liabilities,13.6,12.8,16.2,10.4,9.7,8.0,11.2,10.6,8.4,7.6,9.0,8.5,9.0,7.8,13.0
