AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,262.0,208.9,132.0,151.1,95.1,158.7,74.0,67.5,126.1,152.7,96.5,95.5,125.5,122.4,106.4,103.4,103.0
Current_Liabilities,155.9,216.5,153.7,91.8,69.1,138.0,66.8,64.6,130.0,165.8,115.8,129.6,173.6,211.4,155.0,127.6,128.5
Diluted_EPS,0.192,0.237,-0.442,0.275,0.235,0.244,0.1,0.119,0.243,0.344,0.592,0.098,0.113,0.151,0.006,0.297,0.145
Goodwill_Intangibles,2.9,3.0,2.0,1.7,1.6,2.8,1.1,1.0,1.7,2.5,1.0,1.1,1.5,2.0,3.4,3.1,2.8
Inventory,106.4,192.7,67.5,61.5,48.4,72.2,32.9,33.7,49.0,59.6,35.8,46.0,69.6,65.3,55.3,57.0,52.4
LT_Debt,146.0,55.3,36.9,31.9,2.4,5.3,3.0,3.4,7.4,24.5,18.3,57.2,73.0,59.7,58.8,40.4,33.7
Revenue,172.9,224.7,144.6,249.0,168.1,226.4,138.8,246.2,146.9,172.5,117.9,161.4,106.9,145.9,115.0,230.4,126.4
Shares_Diluted,116.7174,116.8894,117.0802,117.1008,117.205,117.6814,118.179,118.4154,119.1368,119.2052,119.2052,119.2052,119.2052,119.2052,119.2052,119.2052,119.2052
Total_Assets,1105.1,1052.2,717.4,636.1,513.8,870.1,400.0,366.6,584.0,770.0,459.5,483.7,633.6,749.7,529.3,460.6,416.7
Total_Liabilities,482.2,451.9,308.0,217.2,145.0,269.8,129.0,122.1,200.7,280.3,187.5,255.6,336.5,384.5,289.5,242.3,221.3
