AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,1290.8,316.5,454.6,299.2,276.1,188.5,289.2,55.5,,,
Current_Liabilities,640.6,432.1,421.0,280.2,249.9,153.9,101.7,64.2,,,
Diluted_EPS,-0.395,-0.597,0.011,0.09,0.103,0.001,0.02,0.014,0.008,-0.006,-0.006
Goodwill_Intangibles,,,,,0.1,0.1,0.1,0.1,,,
Inventory,7.3,7.6,10.5,,,,,,,,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,337.5,300.0,251.9,198.1,142.7,85.0,95.1,41.1,27.5,15.0,10.1
Shares_Diluted,242.5562,238.4012,251.5759,251.7732,231.5647,250.0527,225.9094,234.9738,,,
Total_Assets,1631.0,641.1,746.3,639.1,518.1,400.5,332.8,72.4,,,
Total_Liabilities,756.4,542.2,509.5,375.6,280.4,177.1,126.7,70.6,,,
