AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019
Current_Assets,173.5,188.9,148.0,132.3,69.9,118.8,,,,,,,
Current_Liabilities,56.2,61.0,43.8,44.4,49.1,83.3,,,,,,,
Diluted_EPS,0.026,0.094,-0.04,-0.338,-0.022,-0.021,-0.161,-0.021,-0.044000000000000004,-0.086,,,
Goodwill_Intangibles,862.6,852.7,863.4,874.5,885.2,860.0,,,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,424.4,424.7,425.4,419.9,613.1,613.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,73.0,72.8,64.0,67.4,68.5,67.8,53.9,52.3,49.5,43.6,39.1,39.6,37.7
Shares_Diluted,82.2232,79.9741,79.7699,71.6971,80.4406,80.7046,,,,,,,
Total_Assets,1059.0,1055.2,1025.9,1020.2,970.4,997.2,,,,,,,
Total_Liabilities,482.6,487.3,469.6,464.8,662.8,697.7,,,,,,,
