AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,9971.5,9684.0,10286.8,9704.6,8819.4,6452.1,5622.2,4890.5,4930.6,4876.8,4679.3,4781.0,4829.0,4969.7,4420.4,4393.7,4101.3,3488.2,3429.8,3172.3
Current_Liabilities,9390.6,9203.4,9456.8,8918.7,7583.2,6443.0,5228.5,4514.6,4623.0,4519.9,4500.0,4602.3,4810.6,4905.2,4653.3,4618.8,4356.5,3684.7,3655.0,3332.0
Diluted_EPS,2.119,1.788,1.423,-1.696,0.085,0.659,0.537,0.196,0.624,-1.204,0.022,0.951,0.894,1.305,1.146,0.467,0.159,0.442,0.728,0.368
Goodwill_Intangibles,220.3,214.2,257.5,179.5,168.7,162.4,124.3,115.3,5.2,5.2,5.3,112.4,110.6,99.5,98.5,99.2,95.4,93.2,91.0,88.9
Inventory,3038.9,2473.2,3037.8,2621.4,2261.1,1878.3,1909.6,1400.4,1318.3,1212.9,1118.1,1020.0,1121.0,912.6,940.9,1027.8,1015.3,876.6,838.6,862.8
LT_Debt,2304.2,2092.7,2381.7,1990.6,1847.0,1672.4,1630.6,1436.0,1122.3,1102.5,774.4,488.9,400.9,454.5,445.4,514.2,390.6,395.7,323.4,239.2
Revenue,3306.4,4252.2,2766.5,4763.0,2092.6,2322.6,1214.6,1123.7,1149.7,1364.6,1269.9,1251.2,1330.5,1494.5,1159.2,1071.1,912.2,1178.3,1009.8,887.7
Shares_Diluted,52.7387,52.7103,54.7597,49.6781,48.1447,51.4677,51.2988,47.7982,51.2857,45.3258,44.498,49.5203,49.5203,44.4036,49.1362,41.6515,39.5043,39.6203,39.1759,39.3935
Total_Assets,16090.8,15400.7,15740.4,14632.7,13099.6,10343.9,9070.3,8129.3,7934.6,7707.5,7241.4,7344.0,7407.7,7503.5,6976.4,6777.7,6218.7,5472.3,5328.2,4816.4
Total_Liabilities,13595.7,13085.2,13539.7,12560.5,11009.1,8777.9,7521.4,6612.7,6388.9,6261.4,5812.1,5871.1,5894.7,6044.4,5589.9,5453.5,4986.1,4275.7,4162.8,3719.5
