AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019
Current_Assets,565.0,348.3,,,,,,,
Current_Liabilities,456.3,392.8,,,,,,,
Diluted_EPS,-0.983,-0.47,,,,-0.194,,,
Goodwill_Intangibles,0.9,1.0,,,,,,,
Inventory,27.6,26.5,,,,,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,274.3,221.6,239.4,208.7,194.9,244.7,221.0,262.6,252.8
Shares_Diluted,235.4515,235.4515,,,,,,,
Total_Assets,709.5,467.8,,,,,,,
Total_Liabilities,501.2,424.5,,,,,,,
