AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021
Current_Assets,47.4,62.6,0.6,0.7,1.0,1.3,0.0
Current_Liabilities,16.5,34.6,3.7,2.4,0.6,0.2,0.2
Diluted_EPS,0.154,-1.668,-0.187,-0.384,-0.045,-0.007,-0.001
Goodwill_Intangibles,4.0,3.9,,,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,25.0,24.5,0.0,0.0,0.0,0.0,0.0
Revenue,17.0,15.4,22.5,9.7,,,
Shares_Diluted,37.5976,24.5343,18.4283,6.1213,15.6875,15.6875,13.805
Total_Assets,52.3,67.0,125.8,125.9,126.2,126.5,0.2
Total_Liabilities,42.4,59.7,8.1,6.8,5.0,4.5,0.2
