AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,35.9,38.5,39.5,35.6,35.8,35.8,33.3,25.7,23.9,20.1,28.5,27.8,27.9,18.3,18.6,16.1,17.1
Current_Liabilities,6.8,6.0,8.1,6.1,5.6,6.1,6.0,5.1,6.5,5.8,7.0,6.1,4.7,5.2,5.6,4.9,4.8
Diluted_EPS,,0.011,0.037,0.027,0.263,0.034,0.086,0.03,-0.036000000000000004,-0.215,0.028,0.006999999999999999,0.006999999999999999,0.037000000000000005,0.055,0.005,-0.033
Goodwill_Intangibles,1.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,
Inventory,11.0,13.4,12.5,12.0,11.5,12.6,12.1,9.0,7.4,5.3,10.7,11.8,11.9,11.4,11.3,10.8,11.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,9.3,9.8,13.8,10.3,9.7,9.4,12.1,7.9,4.4,6.5,10.7,7.6,7.6,7.9,10.1,6.6,6.4
Shares_Diluted,31.4491,31.2684,31.3155,31.0975,31.9271,30.5254,29.2627,28.8399,28.6994,28.6569,28.6569,29.2229,23.244,21.752,21.6815,21.6585,21.4065
Total_Assets,69.2,68.4,70.1,66.5,64.9,57.4,51.5,48.1,48.9,48.4,56.0,54.3,51.1,42.3,41.8,39.7,39.5
Total_Liabilities,9.7,9.1,11.4,9.5,9.2,10.2,6.4,5.7,7.5,6.2,7.5,7.2,4.9,6.0,6.4,5.7,5.7
