AAII_QTR_DATA,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,376.7,361.5,336.0,410.5,411.7,431.5,285.4,335.1,320.5,342.4,261.7,257.2,182.2,203.3,204.0,181.8,183.3,186.1
Current_Liabilities,308.5,251.8,253.4,280.1,280.2,278.3,247.4,248.3,187.0,113.5,175.4,135.8,73.0,48.4,39.3,15.3,10.7,11.7
Diluted_EPS,0.081,-0.261,-0.048,0.368,-0.043,-0.509,-0.071,0.041,0.08,-0.094,0.06,0.0139999999999999,0.196,-0.409,0.097,0.109,-0.284,-0.222
Goodwill_Intangibles,640.5,644.1,651.3,654.5,655.2,511.2,516.4,518.1,486.4,349.3,361.1,362.4,320.9,30.5,30.2,31.7,34.8,32.1
Inventory,51.1,46.6,35.0,31.8,31.9,20.1,17.4,13.9,14.1,10.1,9.5,8.3,7.1,4.9,2.8,2.4,2.8,4.0
LT_Debt,377.5,375.0,329.3,310.6,327.0,186.7,6.5,5.8,43.1,60.4,3.6,3.8,9.4,3.6,3.3,6.9,4.6,2.2
Revenue,136.6,51.1,82.9,86.5,92.7,36.9,51.6,66.7,56.6,39.8,47.3,52.7,43.9,13.7,26.3,20.8,22.4,12.0
Shares_Diluted,55.904,55.807,55.917,56.1,27.477,56.902,57.02,57.411,57.6,55.545,54.942,54.93899999999999,38.37,51.352,50.709,50.298,50.261,50.261
Total_Assets,1157.3,1147.4,1124.0,1204.4,1204.9,1063.8,898.5,931.8,873.1,769.9,698.2,691.0,559.9,296.3,286.4,249.5,247.6,236.3
Total_Liabilities,775.6,772.0,737.4,812.8,827.7,673.7,476.9,495.7,453.2,354.5,370.0,367.4,277.5,97.7,73.2,55.7,49.1,23.4
