AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,12.3,12.1,11.6,10.6,9.6,9.5,9.4,8.9,8.9,9.8,8.5
Current_Liabilities,0.8,1.5,1.5,1.4,1.3,1.2,1.4,1.7,2.1,2.8,2.1
Diluted_EPS,0.212,0.068,0.124,0.028,-0.021,-0.017,1.163,0.123,0.059000000000000004,0.098,0.162
Goodwill_Intangibles,3.1,3.2,3.3,3.5,3.7,3.9,3.9,3.8,3.6,3.3,3.2
Inventory,0.8,0.8,0.4,0.6,0.7,0.8,0.8,0.7,1.2,1.3,0.8
LT_Debt,0.0,0.6,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,3.0,2.9,3.8,3.4,3.2,3.4,3.7,4.2,3.4,3.6,4.0
Shares_Diluted,5.342,5.346,5.311,5.299,5.267,5.256,5.27,5.259,5.242999999999999,5.266,5.244
Total_Assets,21.3,21.4,20.7,20.0,19.1,19.2,19.2,13.5,13.3,13.5,12.2
Total_Liabilities,0.8,2.1,1.9,2.0,1.3,1.3,1.4,1.8,2.3,2.8,2.1
