AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,120.5,133.4,148.9,167.1,183.5,200.7,167.4,164.8,176.6,194.0,203.9,208.6,95.4,106.4,68.1,82.2,85.4,95.8,94.4,104.3
Current_Liabilities,23.6,22.7,23.4,24.4,24.0,22.7,20.8,20.2,33.4,37.0,31.5,13.8,10.3,9.9,10.1,14.3,11.9,10.9,4.8,7.9
Diluted_EPS,-2.317,1.539,-2.495,-2.413,-1.311,-1.918,-3.108,-1.6,-0.278,-0.071,0.006,-0.185,-0.0409999999999999,-0.257,-0.0409999999999999,0.043,-0.244,0.1689999999999999,-0.205,-0.359
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.3,0.3,0.3,0.3,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,5.9,32.7,8.7,11.4,9.7,11.8,7.8,7.5,2.4,12.6,6.6,24.3,1.2,1.0,1.2,1.1,1.2,2.0,0.5,0.5
Shares_Diluted,6.663,6.6631,6.6627,6.6559,6.6528,6.3362,5.6339,5.2363,112.557,112.524,114.957,106.335,105.999,78.577,73.628,71.34899999999998,71.2,71.124,70.885,53.617
Total_Assets,134.2,147.6,163.6,177.8,194.4,209.5,176.4,174.1,186.1,203.9,214.0,209.7,96.6,107.1,68.9,82.7,85.9,96.3,94.8,104.7
Total_Liabilities,99.8,99.2,126.3,125.4,126.6,136.1,142.1,124.6,141.2,130.4,131.7,132.7,22.1,29.8,21.6,34.7,48.0,42.8,55.0,54.2
