AAII_QTR_DATA,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,475.5,560.4,578.1,544.2,482.9,473.8,502.4,472.0
Current_Liabilities,496.8,546.2,547.2,490.2,458.2,280.7,288.1,288.1
Diluted_EPS,-0.836,-0.099,0.16,0.14,-0.063,-0.062,0.288,0.155
Goodwill_Intangibles,521.3,608.6,596.2,607.8,611.1,616.6,645.4,649.9
Inventory,184.1,185.2,189.6,190.8,193.6,190.7,182.8,179.9
LT_Debt,1526.7,1601.2,1423.2,1360.3,1380.9,492.6,519.0,518.2
Revenue,341.5,475.8,523.0,509.9,445.0,471.4,526.6,499.4
Shares_Diluted,92.394,89.2011,90.625,92.782,92.41,92.5058,92.5111,92.5111
Total_Assets,2601.2,2846.8,2673.1,2539.1,2513.5,1451.2,1520.7,1493.8
Total_Liabilities,2128.1,2267.2,2095.4,1977.9,1965.6,899.1,947.3,954.1
