AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,45.3,47.9,50.3,52.9,53.6,62.2,42.3,35.8,35.7,25.3,29.2,29.2,29.8,22.1,21.2,16.2
Current_Liabilities,14.2,14.5,15.0,15.0,14.5,14.1,16.8,14.2,12.8,13.8,18.8,16.6,14.9,15.1,13.2,11.6
Diluted_EPS,-0.124,-0.141,-0.165,-0.087,-0.131,-0.069,-0.069,-0.078,-0.107,-0.585,-0.173,-0.153,-0.2,-0.21600000000000005,-0.19899999999999998,-0.08199999999999999
Goodwill_Intangibles,8.9,9.0,9.0,9.1,9.1,9.2,9.3,9.3,9.4,9.5,9.5,9.6,9.7,9.8,9.9,10.0
Inventory,5.0,4.7,4.2,3.3,2.9,2.5,3.1,3.1,3.3,2.5,2.6,2.4,2.3,2.0,1.6,1.9
LT_Debt,0.0,0.0,0.0,0.0,0.0,6.7,7.0,6.7,6.9,7.0,15.6,14.9,14.5,13.2,11.2,4.8
Revenue,7.6,7.5,7.8,9.4,7.8,8.6,10.5,7.1,5.6,6.6,9.4,7.9,7.3,6.8,7.0,6.2
Shares_Diluted,25.185,25.16,25.126,25.053,24.989,23.929,23.079,23.173,22.396,20.175,19.365,19.284000000000002,17.64,17.2,16.784000000000002,16.7
Total_Assets,58.4,58.8,62.2,65.7,66.6,75.5,55.6,47.8,47.9,37.8,41.7,41.6,40.6,33.2,31.7,26.7
Total_Liabilities,17.4,15.1,15.7,15.9,15.5,22.1,25.1,22.5,21.4,22.7,36.7,33.4,29.7,28.6,24.8,16.9
