AAII_QTR_DATA,12/31/2022,06/30/2022
Current_Assets,269.1,279.3
Current_Liabilities,15.5,16.3
Diluted_EPS,-5.53,-0.054
Goodwill_Intangibles,9.2,34.5
Inventory,0.4,0.4
LT_Debt,0.0,0.0
Revenue,7.3,25.1
Shares_Diluted,6.1145,187.2912
Total_Assets,344.2,376.1
Total_Liabilities,25.2,23.8
