AAII_QTR_DATA,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Current_Assets,57.8,70.8,50.4,49.1,0.5,1.1,1.3
Current_Liabilities,17.4,20.4,18.4,15.9,2.0,0.5,0.3
Diluted_EPS,-0.108,-0.161,-0.166,-2.075,-0.063,-0.016,-0.001
Goodwill_Intangibles,200.2,201.9,205.8,22.3,,,
Inventory,1.3,1.4,1.4,,,,
LT_Debt,73.9,73.6,94.5,0.0,0.0,0.0,0.0
Revenue,26.7,25.0,14.8,58.0,,,
Shares_Diluted,98.3773,89.6974,75.8153,69.5374,31.95,31.95,31.95
Total_Assets,273.6,288.5,272.0,84.9,252.5,253.0,253.2
Total_Liabilities,95.4,102.4,126.7,29.9,10.7,9.3,9.2
