AAII_QTR_DATA,12/31/2022,06/30/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020
Current_Assets,27.3,24.6,23.9,18.3,,
Current_Liabilities,5.2,5.4,6.1,5.8,,
Diluted_EPS,,0.163,0.319,0.184,0.242,0.088
Goodwill_Intangibles,4.5,5.8,3.9,4.7,,
Inventory,0.1,0.2,0.2,0.2,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,33.8,16.2,34.3,17.0,30.7,12.7
Shares_Diluted,,,,,,
Total_Assets,46.5,44.5,42.9,38.9,,
Total_Liabilities,,5.4,6.1,5.8,,
