AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,12/31/2021,09/30/2021,06/30/2021
Current_Assets,37.2,42.6,39.2,44.7,,,
Current_Liabilities,49.3,51.6,53.0,59.3,,,
Diluted_EPS,-0.081,-0.06,-0.04,-0.028,-0.238,0.102,0.196
Goodwill_Intangibles,1.0,1.7,3.5,5.4,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,2.8,3.2,2.8,2.8,0.0,0.0,0.0
Revenue,13.5,15.3,15.6,15.5,23.5,24.4,31.2
Shares_Diluted,36.6773,38.0,38.0,38.0,,,
Total_Assets,66.2,72.8,73.1,80.9,,,
Total_Liabilities,54.5,57.9,63.2,69.4,,,
