AAII_QTR_DATA,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,67.4,64.1,77.8,63.0,68.9,73.8,89.1,100.7,113.3
Current_Liabilities,62.3,54.3,60.1,70.4,65.4,60.6,73.4,76.5,84.9
Diluted_EPS,-0.178,-0.15,-0.132,-0.197,-0.164,-0.077,-0.174,-0.094,-0.031
Goodwill_Intangibles,87.0,87.8,88.5,89.3,90.1,91.1,91.9,92.7,
Inventory,9.1,9.6,11.3,9.5,11.3,11.5,7.3,6.9,8.0
LT_Debt,12.4,12.3,12.2,0.2,0.3,0.5,0.6,0.9,1.1
Revenue,32.6,43.1,44.1,43.4,38.5,37.7,34.5,33.8,42.1
Shares_Diluted,64.1449,64.0968,63.6643,60.0969,60.0662,60.0651,60.0599,60.0539,54.0566
Total_Assets,181.0,179.7,195.7,182.4,183.4,187.3,204.4,217.8,232.0
Total_Liabilities,79.7,72.2,79.2,76.0,65.8,61.3,74.2,77.6,86.2
