AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
Current_Assets,174.5,192.2,118.2,94.3,15.6,14.0,14.2,12.5,11.9,8.9,8.2
Current_Liabilities,26.4,26.4,18.8,258.7,6.7,4.0,7.9,7.5,3.3,3.1,3.0
Diluted_EPS,0.283,0.006,0.697,0.073,0.0,0.417,0.269,0.169,-0.122,0.149,0.049
Goodwill_Intangibles,,,,,190.1,193.5,197.7,201.4,204.3,207.5,210.8
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,905.2,938.9,666.8,255.0,38.0,40.0,36.5,36.5,40.5,39.8,39.0
Revenue,150.8,99.9,115.5,87.8,66.4,20.1,19.2,16.2,12.5,9.5,9.7
Shares_Diluted,80.178,16.897,12.703,83.841,,11.6523,21.5837,21.5535,11.5313,51.525,11.5137
Total_Assets,5137.2,5170.9,2486.4,2302.1,259.0,261.8,267.5,270.8,274.7,275.6,278.8
Total_Liabilities,3436.4,3448.5,691.6,520.9,136.0,131.2,135.1,137.7,138.8,135.9,153.5
